"customer_id","emp_name","city","phone_number","email","registration_date"
1,"Rajesh Sharma","Mumbai","9876543210","rajesh.sharma@gmail.com","2022-01-15"
2,"Priya Singh","Delhi","8765432109","priya.singh@yahoo.com","2021-11-20"
3,"Amit Gupta","Bengaluru","7654321098","amit.gupta@hotmail.com","2020-05-10"
4,"Rakesh Kumar","Kolkata","6543210987","rakesh.kumar@rediffmail.com","2023-03-25"
5,"Neha Mehta","Jaipur","5432109876","neha.mehta@gmail.com","2019-09-05"
6,"Anjali Desai","Pune","9876054321","anjali.desai@gmail.com","2021-05-23"
7,"Vivek Malhotra","Hyderabad","8765943212","vivek.malhotra@yahoo.com","2020-12-18"
8,"Simran Kapoor","Chennai","7654823091","simran.kapoor@gmail.com","2023-01-08"
9,"Karan Patel","Ahmedabad","6543709875","karan.patel@hotmail.com","2018-04-12"
10,"Deepika Jain","Lucknow","5432608769","deepika.jain@gmail.com","2022-06-15"
